geo,year,brecha_general,tasa_stem,nace_r2,brecha_sector,country_name,gggi_eas,gggi_ggi,gggi_pos
EE,2013,29.8,12.8,B-S_X_O,29.8,Estonia,1.0,0.7,0.71
EE,2013,29.8,12.8,C,33.6,Estonia,1.0,0.7,0.71
EE,2013,29.8,12.8,D,22.4,Estonia,1.0,0.7,0.71
EE,2013,29.8,12.8,E,12.4,Estonia,1.0,0.7,0.71
EE,2013,29.8,12.8,F,23.5,Estonia,1.0,0.7,0.71
EE,2013,29.8,12.8,G,38.0,Estonia,1.0,0.7,0.71
EE,2013,29.8,12.8,H,9.7,Estonia,1.0,0.7,0.71
EE,2013,29.8,12.8,I,25.0,Estonia,1.0,0.7,0.71
EE,2013,29.8,12.8,J,30.1,Estonia,1.0,0.7,0.71
EE,2013,29.8,12.8,K,45.0,Estonia,1.0,0.7,0.71
EE,2013,29.8,12.8,L,17.8,Estonia,1.0,0.7,0.71
EE,2013,29.8,12.8,M,21.6,Estonia,1.0,0.7,0.71
EE,2013,29.8,12.8,N,24.2,Estonia,1.0,0.7,0.71
EE,2013,29.8,12.8,O,8.4,Estonia,1.0,0.7,0.71
EE,2013,29.8,12.8,P,26.0,Estonia,1.0,0.7,0.71
EE,2013,29.8,12.8,Q,33.8,Estonia,1.0,0.7,0.71
EE,2013,29.8,12.8,R,28.6,Estonia,1.0,0.7,0.71
EE,2013,29.8,12.8,S,18.5,Estonia,1.0,0.7,0.71
ES,2013,17.8,11.5,B,10.8,Spain,1.0,0.73,0.65
ES,2013,17.8,11.5,B-N,23.4,Spain,1.0,0.73,0.65
ES,2013,17.8,11.5,B-S,17.2,Spain,1.0,0.73,0.65
ES,2013,17.8,11.5,B-S_X_O,17.8,Spain,1.0,0.73,0.65
ES,2013,17.8,11.5,C,22.4,Spain,1.0,0.73,0.65
ES,2013,17.8,11.5,D,15.2,Spain,1.0,0.73,0.65
ES,2013,17.8,11.5,E,15.5,Spain,1.0,0.73,0.65
ES,2013,17.8,11.5,F,5.0,Spain,1.0,0.73,0.65
ES,2013,17.8,11.5,G,25.6,Spain,1.0,0.73,0.65
ES,2013,17.8,11.5,H,12.0,Spain,1.0,0.73,0.65
ES,2013,17.8,11.5,I,15.2,Spain,1.0,0.73,0.65
ES,2013,17.8,11.5,J,16.6,Spain,1.0,0.73,0.65
ES,2013,17.8,11.5,K,22.6,Spain,1.0,0.73,0.65
ES,2013,17.8,11.5,L,21.4,Spain,1.0,0.73,0.65
ES,2013,17.8,11.5,M,20.5,Spain,1.0,0.73,0.65
ES,2013,17.8,11.5,N,14.6,Spain,1.0,0.73,0.65
ES,2013,17.8,11.5,O,12.1,Spain,1.0,0.73,0.65
ES,2013,17.8,11.5,P,9.5,Spain,1.0,0.73,0.65
ES,2013,17.8,11.5,Q,24.9,Spain,1.0,0.73,0.65
ES,2013,17.8,11.5,R,11.3,Spain,1.0,0.73,0.65
