freq,unit,isced11,sex,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,P_THAB,ED5-8,F,BG	: 	11.8 	11.1 	12.3 	12.0 	12.0 	11.5 	11.6 	11.2 	12.5 	12.5 	12.2 	13.3 
A,P_THAB,ED5-8,F,CH	: 	7.3 	7.8 	9.2 	9.1 	9.4 	9.9 	10.5 	11.0 	11.8 	12.4 	13.5 	13.8 
A,P_THAB,ED5-8,F,CY	: 	5.4 	5.9 	8.3 	8.6 	7.7 	7.2 	7.2 	6.6 	6.7 	7.7 	8.8 	8.5 
A,P_THAB,ED5-8,F,CZ	: 	11.4 	11.1 	12.2 	12.3 	12.2 	12.3 	12.2 	12.0 	12.1 	11.9 	11.8 	: 
A,P_THAB,ED5-8,F,DE	: 	10.1 	10.8 	11.3 d	11.4 d	11.7 	11.8 	13.2 	12.5 	13.9 	14.1 	14.2 	14.7 
A,P_THAB,ED5-8,F,DK	: 	14.3 	15.3 	13.2 	16.0 	15.8 	15.4 	16.4 	16.0 	18.3 	17.9 	19.3 	19.6 
A,P_THAB,ED5-8,F,EE	: 	12.8 	10.8 	13.0 	12.9 	13.2 	12.9 	13.8 	14.9 	15.2 	15.1 	14.7 	15.8 
A,P_THAB,ED5-8,F,EL	: 	12.2 	12.4 	13.2 	13.7 	14.5 	14.5 	14.6 	14.5 	17.1 	18.1 	19.7 	19.2 
A,P_THAB,ED5-8,F,ES	9.8 	11.5 	12.3 	13.3 	12.9 	13.1 	12.6 	11.9 	12.4 	13.2 	13.0 	13.1 	14.0 
A,P_THAB,ED5-8,F,EU27_2020	: 	: 	12.4 d	13.1 d	13.3 d	13.5 	13.4 d	13.8 	14.0 	14.9 	15.1 	15.5 	: 
A,P_THAB,ED5-8,F,EU28	: 	: 	13.1 d	13.7 d	13.9 d	14.1 	14.4 d	14.9 	: 	: 	: 	: 	: 
A,P_THAB,ED5-8,F,FI	: 	12.5 	12.6 	13.4 	13.5 	12.6 	13.4 	13.9 	16.2 	15.9 	17.6 	19.8 	23.2 
A,P_THAB,ED5-8,F,FR	: 	: d	: 	15.5 	16.2 	16.8 	16.8 d	17.2 	18.2 	19.0 	19.7 	19.2 	19.2 
A,P_THAB,ED5-8,F,HR	: 	10.7 	11.4 	12.3 	13.6 	15.3 	14.9 	15.8 	17.6 	17.5 	17.2 	18.0 	17.1 
A,P_THAB,ED5-8,F,HU	: 	7.0 	7.7 	8.0 	8.3 	8.0 	8.0 	7.6 	14.3 d	8.2 	7.8 	9.1 	8.5 
A,P_THAB,ED5-8,F,IE	: 	10.0 	12.4 	17.6 	18.2 	19.3 	22.9 d	23.7 d	25.7 d	27.1 d	29.1 d	28.7 d	: 
A,P_THAB,ED5-8,F,IS	: 	10.9 	12.0 	11.5 	13.3 	13.9 	11.9 	14.0 	11.7 	14.4 	13.8 	15.0 	: 
A,P_THAB,ED5-8,F,IT	: 	11.4 	11.4 	11.3 d	11.3 	11.8 d	12.6 	13.4 	13.6 p	14.8 	15.0 	16.5 	17.6 
A,P_THAB,ED5-8,F,LI	: 	10.8 	10.2 	10.4 	10.8 	10.9 	8.6 	10.7 	14.6 	22.4 	12.8 	: 	: 
A,P_THAB,ED5-8,F,LT	: 	13.1 	12.1 	11.9 	11.3 	11.9 	13.2 	12.6 	12.2 	11.9 	11.5 	11.2 	11.5 
A,P_THAB,ED5-8,F,LU	: 	2.3 	2.0 	1.6 	2.2 	1.8 	1.8 	2.0 	2.6 	3.1 	3.6 	4.0 	3.9 
A,P_THAB,ED5-8,F,LV	: 	9.5 	9.1 	8.4 	8.3 	8.1 	8.9 	9.0 	9.0 	9.9 	10.1 	10.8 	: 
A,P_THAB,ED5-8,F,ME	: 	: 	: 	: 	: 	: d	: d	: d	: d	12.1 	: 	10.5 	9.7 
A,P_THAB,ED5-8,F,MK	: 	5.9 	7.0 	6.5 	7.5 	7.5 	7.5 	8.3 	6.6 	7.3 	9.6 	10.5 	10.6 
A,P_THAB,ED5-8,F,MT	: 	9.5 	8.9 	9.6 	7.7 	8.2 	8.4 	7.2 	6.7 	7.4 	7.7 	8.1 	7.5 
A,P_THAB,ED5-8,F,NL	: 	: 	: 	: d	: 	7.1 	8.0 	8.4 	8.8 	10.1 	10.4 	11.1 	: 
A,P_THAB,ED5-8,F,NO	: 	8.2 	8.3 	8.6 	8.3 	9.6 	9.9 	9.7 	10.0 	11.5 	11.6 	12.4 	12.9 
A,P_THAB,ED5-8,F,PL	: 	: d	17.8 d	19.0 	19.3 	20.9 	18.5 	17.4 	15.2 	15.9 	16.0 de	16.1 de	15.9 de
A,P_THAB,ED5-8,F,PT	: 	14.5 	13.9 	14.7 	15.2 	15.7 	15.5 	15.5 	15.9 	17.5 	16.8 	17.4 	: 
A,P_THAB,ED5-8,F,RO	: 	15.0 	14.3 	13.0 	12.3 	13.0 	13.9 	15.5 	15.9 	16.8 	16.4 	16.5 	16.4 
A,P_THAB,ED5-8,F,RS	: 	: 	11.9 	12.3 	12.8 	13.3 	13.5 	13.8 	14.6 	14.8 	15.3 	16.5 	17.2 
A,P_THAB,ED5-8,F,SE	: 	9.7 	10.2 	10.6 	11.2 	10.9 	11.0 	11.7 	13.3 	14.8 	16.0 	16.2 	: 
A,P_THAB,ED5-8,F,SI	: 	13.0 	12.9 	13.7 	20.5 	13.4 	14.8 	14.3 	14.5 	14.8 	15.5 	16.4 	16.6 
A,P_THAB,ED5-8,F,SK	: 	13.4 	13.1 	12.0 	11.7 	10.6 	9.9 	9.0 	9.1 	8.9 	9.0 	8.9 	9.1 
A,P_THAB,ED5-8,F,TR	: 	: 	: 	8.3 	8.1 	8.5 	8.7 	9.0 	8.5 	9.3 	13.2 	8.9 	: 
A,P_THAB,ED5-8,F,UK	: 	17.3 	17.4 	17.0 	17.5 d	18.5 d	20.2 d	21.6 d	: 	: 	: 	: 	: 
A,P_THAB,ED5-8,M,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.2 	16.5 	17.0 	: 
A,P_THAB,ED5-8,M,AT	: 	32.7 	33.5 	32.1 	31.9 	31.6 	32.7 	33.3 	35.0 	35.1 	34.0 	33.7 	34.9 
A,P_THAB,ED5-8,M,BE	: 	19.5 	20.6 	19.5 	20.5 	20.0 	20.6 	20.7 d	22.8 d	23.5 d	23.3 	24.1 	: 
A,P_THAB,ED5-8,M,BG	: 	17.2 	17.0 	19.1 	18.1 	19.3 	18.6 	19.8 	18.6 	20.3 	20.9 	20.4 	20.6 
A,P_THAB,ED5-8,M,CH	: 	27.5 	28.7 	30.5 	31.2 	31.6 	32.2 	33.1 	32.0 	35.0 	34.9 	35.7 	36.8 
A,P_THAB,ED5-8,M,CY	: 	7.8 	9.1 	11.7 	11.8 	12.5 	12.8 	13.5 	13.3 	14.5 	15.4 	15.2 	15.1 
A,P_THAB,ED5-8,M,CZ	: 	22.2 	21.8 	22.0 	21.5 	21.1 	20.6 	19.8 	19.7 	19.6 	19.5 	20.2 	: 
A,P_THAB,ED5-8,M,DE	: 	25.2 	27.5 	29.2 d	28.1 d	28.3 	27.8 	34.7 	31.3 	33.2 	33.7 	33.5 	33.3 
A,P_THAB,ED5-8,M,DK	: 	25.4 	26.2 	26.9 	30.3 	29.1 	30.8 	30.8 	31.5 	33.6 	32.6 	34.3 	33.1 
A,P_THAB,ED5-8,M,EE	: 	18.2 	16.0 	17.8 	19.3 	19.7 	18.3 	19.0 	19.5 	23.6 	20.9 	19.7 	21.6 
A,P_THAB,ED5-8,M,EL	: 	19.1 	20.0 	20.8 	20.4 	21.1 	20.5 	19.7 	19.0 	22.7 	24.4 	26.1 	24.4 
A,P_THAB,ED5-8,M,ES	21.3 	27.1 	29.6 	31.3 	30.0 	30.3 	30.0 	29.6 	29.2 	33.2 	32.6 	33.5 	35.1 
A,P_THAB,ED5-8,M,EU27_2020	: 	: 	24.4 d	25.5 d	25.6 d	25.7 	25.7 d	27.5 	27.6 	28.9 	29.0 	29.0 	: 
A,P_THAB,ED5-8,M,EU28	: 	: 	24.9 d	25.7 d	25.9 d	26.0 	26.3 d	27.9 	: 	: 	: 	: 	: 
A,P_THAB,ED5-8,M,FI	: 	31.0 	31.6 	33.6 	34.6 	31.7 	33.7 	35.1 	36.3 	34.6 	34.8 	37.3 	41.9 
A,P_THAB,ED5-8,M,FR	: 	: d	: 	33.9 	34.9 	35.5 	36.3 d	37.4 	39.7 	40.1 	40.0 	35.9 	36.6 
A,P_THAB,ED5-8,M,HR	: 	20.1 	19.7 	22.2 	21.9 	23.7 	24.8 	26.8 	27.1 	27.5 	26.3 	26.0 	25.3 
A,P_THAB,ED5-8,M,HU	: 	15.2 	16.4 	16.3 	17.0 	16.2 	16.5 	17.1 	33.2 d	19.0 	18.2 	22.3 	20.0 
